"sep=,"
sn,serial,ct,modelo,observaciones,disponible
266,5CG1038R46,WHGREOBRLEMW4L,"portatil HP",,SI
267,5CG1038PVL,WHGREOBRLEMX3M,"portatil HP",,SI
268,5CG1038TYP,WHGREOBRLEMWU2,"portatil HP",,SI
269,5CG1038W35,WHHREOA4LEJ61G,"portatil HP",,SI
270,5CG1038XPW,WHHREOA4LEJ6IP,"portatil HP",,SI
271,5CG1038QJM,WHGREOBRLEMWCE,"portatil HP",,SI
272,5CG1038N6C,WHGREOBRLEMW,"portatil HP",,SI
273,5CG1038SZ1,WHGREOBRLEMWLP,"portatil HP",,SI
274,5CG1038N6C,WHGREOBRLEMWXK,"portatil HP",,SI
275,5CG1038SZO,WHGREOBRLEMWD0,"portatil HP",,SI
276,5CG1038QQZ,WHGREOBRLEMWD6,"portatil HP",,SI
277,5CG1038STB,WHGREOBRLEMW43,"portatil HP",,SI
